Time,Race,code1,code2,raceno,run1num,run1name,run1score,run1price1,run1price2,run2num,run2name,run2score,run2price1,run2price2,run3num,run3name,run3score,run3price1,run3price2,run4num,run4name,run4score,run4price1,run4price2,status
11:48,Swan Hill,VR,VR,1,2,AGUA DE VIDA,--,3.10,1.20,3,BOLD SUGGESTION,--,11.00,3.40,9,THE WILEY FOX,--,13.90,2.90,5,HOLBEIN PRINCE,3rd,23.20,4.10,PAYING
11:57,Sapphire Coast,CR,CR,1,2,NRIANGI,1st,2.20,1.40,5,FOUR FORTYFOUR,--,11.40,5.10,1,BASILUS,2nd,7.40,3.10,3,RIGHTEOUS RULER,--,10.90,3.90,PAYING
12:05,Gatton,QR,QR,1,3,UNION,1st,3.30,1.80,7,DAYZARI,--,9.90,4.30,4,EAGLE SHAMAN,2nd,2.30,1.40,6,COME BY OFTEN,--,8.20,2.80,PAYING
12:32,Sapphire Coast,CR,CR,2,4,SHOULDER CHARGE,1st,3.70,1.40,7,KISS IN THE DARK,3rd,2.90,1.30,10,NAGGING,--,6.60,2.30,1,BEAUT BOPA,--,8.40,2.40,PAYING
12:40,Gatton,QR,QR,2,1,BLETCHY BOY,1st,3.60,1.30,7,ELEGANTLY,--,9.10,2.20,10,SO RUBENESQUE,2nd,17.30,4.50,4,CAST OUT,--,2.50,1.30,PAYING
13:15,Gatton,QR,QR,3,7,DANNI'S DIVA,1st,8.80,2.20,9,LAVRA QUALO,--,10.60,2.20,3,MONTY ZOOMS,--,8.60,2.10,4,ORCHESTRAL PRINCE,3rd,2.30,1.30,PAYING
13:24,Hawkesbury,NR,NR,3,1,HALBERD,1st,1.90,1.50,6,LONHRO'S SPIRIT,--,4.00,1.80,9,SUPERCHARGED,2nd,3.50,1.70,7,RUBYSPOT,--,21.60,5.00,PAYING
13:50,Gatton,QR,QR,4,3,JEPTOO,2nd,4.00,1.50,4,MISS SUGAR PUSS,1st,2.60,1.50,7,OTOSHI,3rd,8.50,2.20,9,OPTIONALITY,--,7.50,2.20,PAYING
14:25,Gatton,QR,QR,5,6,MR PENNYPACKER,--,8.70,2.10,4,CASHINKO,2nd,4.70,1.80,2,HANDFUL OF SILVER,--,4.20,1.60,5,ISADJOURNED,--,9.70,2.50,PAYING
14:43,Swan Hill,VR,VR,6,3,VILLAINOUS VIXEN,--,4.60,1.70,1,SHADOW TALES,3rd,6.90,1.90,8,COOL 'N' SASSY,--,9.90,2.80,13,MONSIEUR PIERRE,--,17.70,4.40,PAYING
