Time,Race,code1,code2,raceno,run1num,run1name,run1score,run1price1,run1price2,run2num,run2name,run2score,run2price1,run2price2,run3num,run3name,run3score,run3price1,run3price2,run4num,run4name,run4score,run4price1,run4price2,status
11:50,Ipswich,BR,BR,1,5,POP BUBBLE POP,--,18.20,4.00,10,NEAR THE CITY,2nd,2.80,1.20,4,MARASKA,--,5.30,1.60,1,ANOTHER GIRL,3rd,8.10,2.00,PAYING
12:08,Murray Bridge,AR,AR,1,4,SPIRITED MATCH,3rd,3.60,1.30,2,MANCHESTER,--,15.30,4.30,1,ICELANDIC STAR,--,3.40,1.30,9,SHEZA DARK HORSE,--,24.60,7.20,PAYING
12:18,Sandown,MR,MR,1,1,ABSOLUTE TREASURE,2nd,8.90,2.40,3,DESERT SAMURAI,--,24.30,5.00,9,GO JENNIO,1st,2.30,1.10,8,GIN LIZZIE,--,9.60,2.30,PAYING
12:25,Ipswich,BR,BR,2,7,GO ON RED,3rd,4.80,1.70,8,GRANDPIE DRAGON,2nd,15.00,3.80,6,CASHINKO,--,17.70,3.70,4,TAHITIAN PRINCE,--,11.40,2.60,PAYING
12:35,Warwick Farm,SR,SR,1,1,PIONEERING,--,5.70,2.60,2,FLIPPANT,--,5.30,2.50,7,MAJELLA MAGIC,--,34.30,8.20,4,LABDIEN,1st,11.90,3.90,PAYING
12:43,Murray Bridge,AR,AR,2,5,LOQUETEUX,2nd,1.30,1.00,9,EXALTED BLOOM,--,11.60,2.20,6,MUMBLE BEE,1st,16.60,2.30,4,YARN,--,44.80,9.20,PAYING
13:00,Ipswich,BR,BR,3,1,SWEET REPEAT,--,2.90,1.30,6,SONADOR'S PRINCESS,1st,2.90,1.50,7,DIVA FOREVER,--,6.30,1.50,10,CURTAILMENT,--,45.00,9.50,PAYING
13:10,Warwick Farm,SR,SR,2,7,SHANINA,--,5.00,2.60,5,TALTARNI,--,9.70,3.90,1,HAPPY FRIDAY,2nd,4.80,2.40,3,RAHY STORM,--,6.20,2.50,PAYING
13:18,Murray Bridge,AR,AR,3,1,CHOICE DISCOVERY,--,17.10,3.70,7,LONDON TRADER,--,9.90,2.70,10,GOLDEN CLASS,--,5.80,1.90,2,DEVARICH,--,7.70,2.30,PAYING
13:28,Sandown,MR,MR,3,8,REMERGED,--,4.60,1.40,6,A MILLION TEARS,--,3.90,1.80,7,MAGNUS SLIPPER,2nd,7.90,2.90,4,DARNEY GUB,3rd,5.40,2.20,PAYING
