Time,Race,code1,code2,raceno,run1num,run1name,run1score,run1price1,run1price2,run2num,run2name,run2score,run2price1,run2price2,run3num,run3name,run3score,run3price1,run3price2,run4num,run4name,run4score,run4price1,run4price2,status
12:20,Swan Hill,VR,VR,1,5,MUCKATAH LAD,1st,4.30,1.20,7,CORAL DOWNS,--,3.60,1.50,1,AFTERSHAVE,--,22.60,4.90,9,SMITHFIELD MISS,3rd,3.10,1.50,PAYING
12:43,Ballina,CR,CR,1,1,RAID THE JEWELS,--,6.00,3.60,2,BIAGIOTTI,2nd,2.20,1.50,5,ULTRA EGO,1st,2.90,1.10,3,BONSEA,--,26.70,12.20,PAYING
12:55,Swan Hill,VR,VR,2,4,ALL AUSTRALIAN GAL,2nd,2.80,1.60,5,CHASE OF FAME,1st,1.70,1.20,3,VOLCANIC BLING,--,13.90,3.40,2,JACK HENRY,--,7.60,2.40,PAYING
13:08,Sapphire Coast,NR,NR,1,3,DOUBLE WARNING,2nd,3.50,1.60,9,MISS RIHANNA,--,12.60,3.50,6,WOOBIE,3rd,6.20,2.00,10,REBEL GOLD,--,27.10,7.50,PAYING
13:30,Swan Hill,VR,VR,3,4,VIEWPOINT ESTATE,1st,4.00,1.50,10,THE LAST ANGEL,--,8.10,1.90,5,THE NARCISSIST,3rd,2.00,1.30,1,AMOUR DE JEUNESSE,2nd,14.40,2.40,PAYING
14:05,Swan Hill,VR,VR,4,6,ECHUCA JEWELS,--,6.00,1.90,1,GOT THAT GLINT,--,17.80,3.80,9,SALAQUA,--,20.70,3.70,11,AGNUS DARLING,--,4.50,1.50,PAYING
14:28,Ballina,CR,CR,4,11,CEARNACH,1st,23.00,5.90,3,SCREAMING JET,--,2.50,1.10,12,SHOCTONIC,--,48.30,13.30,5,THRILLERS,--,9.80,3.00,PAYING
14:40,Swan Hill,VR,VR,5,4,SUPER FLYER,1st,2.30,1.60,6,JETSTYLE EXPRESS,--,18.00,5.10,7,KALKIDAN,2nd,22.00,10.60,3,TYPHOON SU,--,4.00,1.90,PAYING
14:55,Sapphire Coast,NR,NR,4,2,YARRAGEE ROAD,3rd,4.90,1.80,5,MR MEOW,1st,2.80,1.20,10,DOUBLE DRAMA,--,24.70,5.20,7,CARBON TAIKUN,--,12.40,3.10,PAYING
15:05,Ballina,CR,CR,5,4,ANASHEED,1st,6.10,1.80,1,BARLEY LOVER,--,7.80,2.80,7,SHE TELLS LIES,--,9.30,3.00,6,STRADAM,--,4.90,2.20,PAYING
