Time,Race,code1,code2,raceno,run1num,run1name,run1score,run1price1,run1price2,run2num,run2name,run2score,run2price1,run2price2,run3num,run3name,run3score,run3price1,run3price2,run4num,run4name,run4score,run4price1,run4price2,status
11:46,Pt Lincoln,AR,AR,1,1,PROPSHAFT,1st,1.70,1.20,2,ROLL ON BAI,--,7.70,2.80,4,DESTONY HAWK,--,3.60,1.50,3,EXTRACEED,--,10.90,3.40,PAYING
12:13,Sapphire Coast,CR,CR,1,5,BURRADOO,2nd,3.60,1.30,8,STOIC,1st,3.40,1.30,6,KISMET,--,4.00,2.00,1,FAST TRACK MAGIC,--,7.00,1.50,PAYING
12:20,Mildura,VR,VR,1,6,NIKKI NIKKI NOO,--,5.00,1.80,4,VOLCANIC BLING,2nd,6.90,3.10,1,BOLD SUGGESTION,--,20.70,4.40,3,GOT THAT GLINT,--,8.20,2.80,PAYING
12:25,Pt Lincoln,AR,AR,2,9,SWINGITLIKESAYERS,1st,4.20,1.50,6,HEAVENS FLIGHT,3rd,2.80,1.30,4,ABALONE WARS,--,1638.30,1638.30,2,JAILBREAK JIMMY,--,12.40,3.30,PAYING
12:48,Sapphire Coast,CR,CR,2,3,SILVER THREADS,--,3.20,1.50,11,SCORING,2nd,6.70,2.00,5,SHIMODA,3rd,8.60,2.40,7,GUNNA EXCEL,--,11.80,2.50,PAYING
12:55,Mildura,VR,VR,2,1,ALDO'S GOLD,2nd,5.00,1.90,2,HELL ON EARTH,1st,2.80,1.60,3,HONOURABLE FRED,--,1638.30,1638.30,5,BRING ME DIAMONDS,--,5.70,2.50,PAYING
13:00,Pt Lincoln,AR,AR,3,3,VALIK,2nd,3.20,1.30,7,STRAVINSKA,3rd,10.80,2.20,2,SWINGIN' DAZZLER,--,6.90,2.30,5,STRAWPEDO,--,4.60,1.80,PAYING
13:23,Sapphire Coast,CR,CR,3,1,SPIRIT OF KINLOCH,2nd,12.00,3.10,3,YARRAGEE ROAD,1st,2.70,1.40,7,RED FENDER,--,3.50,1.10,2,ARR GEE THREE,3rd,5.10,1.60,PAYING
13:30,Mildura,VR,VR,3,1,AFTERSHAVE,--,9.20,2.00,5,BETTYDEE,--,11.20,2.10,6,HEAVENLINESS,1st,2.30,1.20,2,DIESELBY,--,69.70,10.70,PAYING
13:35,Pt Lincoln,AR,AR,4,3,HARD AT IT,1st,2.00,1.20,2,THE FASTNET,2nd,5.10,2.30,1,TRESETTE,--,6.50,3.10,7,SUTANOC,--,7.50,3.50,PAYING
