Time,Race,code1,code2,raceno,run1num,run1name,run1score,run1price1,run1price2,run2num,run2name,run2score,run2price1,run2price2,run3num,run3name,run3score,run3price1,run3price2,run4num,run4name,run4score,run4price1,run4price2,status
12:10,Kembla Grange,NR,NR,1,5,LAD ABOUT TOWN,2nd,4.20,1.50,3,ESTEEMED ELEGANCE,--,1.80,1.90,1,MAJOR MAJOR,--,1638.30,1638.30,4,CUBAN STAR,--,12.30,5.80,PAYING
12:20,Swan Hill,VR,VR,1,5,DEEP OCEAN,--,3.00,1.40,2,HONOURABLE FRED,--,6.60,2.70,1,DISCO VOLANTI,2nd,3.50,2.50,3,NO SISTERS,--,21.70,6.40,PAYING
12:37,Ipswich,BR,BR,1,1,ALI MOUNTAIN,--,9.10,2.10,4,SHANDIEN,2nd,7.20,1.60,6,GOLD BUTTONS,1st,3.20,1.60,3,BALKAN BAMBINO,--,6.20,1.90,PAYING
12:45,Kembla Grange,NR,NR,2,10,CHAPILLA,--,3.40,1.80,5,APOCALYPTO,--,6.90,1.60,2,OUR ROCKET,--,25.80,4.60,13,SANDY WATERS,3rd,18.50,3.70,PAYING
12:55,Swan Hill,VR,VR,2,1,THE ONCELER,2nd,2.90,1.10,4,CHECK OUR ENEMY,1st,2.70,1.30,6,SENORITA ON SAFARI,--,11.80,2.00,2,WAITAKI,--,27.70,4.20,PAYING
13:03,Ballina,CR,CR,2,4,NAKANAI,--,5.50,2.50,2,HARD WORK,--,20.70,3.90,5,ANASHEED,2nd,4.10,1.60,1,FAR DOOLEY,--,5.20,1.70,PAYING
13:30,Swan Hill,VR,VR,3,8,GOLD SEAL,--,4.40,1.80,1,AFTERSHAVE,--,46.60,9.80,5,PHONE BID,--,11.80,3.20,9,THE LAST ANGEL,--,4.40,1.40,PAYING
13:47,Ipswich,BR,BR,3,10,PICAVINO,1st,12.20,2.70,1,CAPITANEAR,2nd,8.10,1.70,2,SWEET REPEAT,--,1638.30,1638.30,4,COUNTER MEAL,3rd,7.50,1.70,PAYING
14:05,Swan Hill,VR,VR,4,5,QUEEN OF ULTIMA,--,7.00,3.90,4,SWISS MOVEMENT,--,9.50,3.50,3,LIKE A BOUGHT ONE,2nd,3.40,1.80,7,SUPER GEM,--,21.60,7.70,PAYING
14:30,Kembla Grange,NR,NR,5,7,SHANINA,2nd,15.70,3.10,1,EXCESS KNOWLEDGE,1st,1.70,1.00,8,SANKARA SPIRIT,--,23.10,3.40,6,CORRYVRECKAN,--,6.50,1.50,PAYING
