Time,Race,code1,code2,raceno,run1num,run1name,run1score,run1price1,run1price2,run2num,run2name,run2score,run2price1,run2price2,run3num,run3name,run3score,run3price1,run3price2,run4num,run4name,run4score,run4price1,run4price2,status
12:20,Orange,CR,CR,1,1,HOUSE OF NICOLE,100,7.40,1.30,3,EDIE'S DELIGHT,80,44.40,0.00,9,RISE ME UP,60,4.90,1.60,10,SEADORE,31,7.40,2.60,ABANDONED
12:38,Scone,NR,NR,1,6,SHUTTLE,--,5.00,1.80,4,PAULINE'S PASSION,2nd,5.40,1.90,3,LEAVESDEN,3rd,7.20,2.40,1,STREAKY BAY,--,4.50,1.50,PAYING
12:47,Gatton,QR,QR,1,12,WHISPERING WINGS,--,8.10,3.40,9,SHUTTLE MISS,--,27.70,6.80,8,SHEZA HOTTI,--,17.10,6.20,16,LOFN,--,13.60,4.00,PAYING
12:55,Orange,CR,CR,2,14,PARAVIDYA,100,8.40,2.20,1,COLDROCK,83,14.10,1.40,8,MISS RIHANNA,66,1.50,3.80,12,EVA JEAN,43,16.90,2.20,ABANDONED
13:05,Werribee,VR,VR,1,6,OUT OF GRANGE,--,6.90,2.90,1,AVROSON,1st,3.00,1.80,7,ROCK OF CAISEAL,2nd,2.50,1.70,5,MONDIALE,--,16.70,4.80,PAYING
13:13,Scone,NR,NR,2,8,MANON,1st,1.40,1.40,7,BELLAHRO,2nd,3.40,1.10,4,CROSSING GUARD,--,17.60,1.80,6,HAVAZAC,--,47.00,6.10,PAYING
13:22,Gatton,QR,QR,2,7,WHEN IN DOUBT,--,5.50,1.80,2,FLINDERS LUCK,--,20.80,5.50,3,NATIVE,1st,6.20,1.90,1,EMOTIONAL MOVE,--,8.90,2.40,PAYING
13:30,Orange,CR,CR,3,8,PATH TO FREEDOM,100,0.00,0.00,9,SEQUOIA SUNRISE,84,5.10,0.00,5,TINMINE,64,5.10,1.00,3,WHEELY WILSON,35,10.20,0.00,ABANDONED
13:40,Werribee,VR,VR,2,12,SENSE IN THE CITY,--,3.40,1.50,3,GRAND FRENZY,--,20.20,3.50,1,BELLA MISSILE,--,11.10,2.90,4,HAMMERING HOME,--,13.70,3.30,PAYING
13:48,Scone,NR,NR,3,12,POP A BOTTLE,--,3.90,1.50,10,MARTINE,2nd,3.70,1.40,5,DUAL STAR,--,2.80,1.40,13,ROCKING HORSE,--,21.00,4.50,PAYING
