Time,Race,code1,code2,raceno,run1num,run1name,run1score,run1price1,run1price2,run2num,run2name,run2score,run2price1,run2price2,run3num,run3name,run3score,run3price1,run3price2,run4num,run4name,run4score,run4price1,run4price2,status
12:03,Murray Bridge,AR,AR,1,4,ZOVISTA,--,2.80,1.70,1,CON NOW,--,2.40,1.30,5,EXALTED GEM,1st,4.40,2.30,6,MUMBLE BEE,2nd,15.60,3.50,PAYING
12:29,Sunshine Coast,BR,BR,1,1,JAM TOAST,--,2.70,1.60,5,MAGIC SQUARE,--,12.40,3.40,7,MISTRAL THIEF,--,7.90,3.70,6,TIBROGARGAN MISS,1st,2.30,1.70,PAYING
12:33,Hanging Rock,VR,VR,2,3,I'M YOUR MAN,--,3.40,1.40,10,SPEEDBOAT,--,4.50,1.90,7,KEEPCALMANDCARRYON,1st,5.10,2.00,4,ROCK HARD STAR,--,29.80,4.00,PAYING
12:38,Canterbury,SR,SR,1,2,I'M NOT SURE,2nd,2.50,1.20,7,TRUST MY LUCK,--,8.60,1.70,9,WAR PRODIGY,--,37.40,7.10,8,PRINCE MORPHEUS,--,33.10,5.40,PAYING
12:46,Armidale,CR,CR,1,8,SEASIDE TIGER,--,1638.30,1638.30,5,FINE DIAMOND,3rd,1.60,1.00,3,PLAY MY HAND,--,3.90,2.20,2,SEEKTOWIN,2nd,10.70,2.40,PAYING
12:55,Sandown,MR,MR,2,4,THE QUARTERBACK,--,2.30,1.50,2,SHAMAL WIND,1st,2.80,1.60,7,KLISHINA,--,17.30,4.80,3,VATICAN,2nd,6.80,2.80,PAYING
13:04,Sunshine Coast,BR,BR,2,4,TOUCH 'N' GO,--,5.90,2.20,5,FORETOKEN,--,7.40,2.10,8,QUEEN OF GEORGIA,2nd,7.10,2.00,9,LILY MY GIRL,3rd,8.60,2.10,PAYING
13:08,Hanging Rock,VR,VR,3,3,SHINING MANE,--,1.70,1.00,7,LAUGH IT UP,--,10.90,2.60,6,LADY'S TASTE,1st,10.20,2.30,9,SO FEESABLE,2nd,6.30,2.10,PAYING
13:17,Murray Bridge,AR,AR,3,1,GO'EN HOFF,2nd,3.70,1.50,12,MISS NOVAL,--,4.70,1.80,11,RANSOM VALUE,--,75.20,11.60,9,MONICA'S MACHINE,--,10.00,2.10,PAYING
13:21,Armidale,CR,CR,2,3,DREAM POET,--,8.10,1.70,5,OCHREMANI,3rd,8.90,1.60,10,EMMYLOU,--,20.40,2.70,8,MASSACRE,1st,1.20,1.00,PAYING
