Time,Race,code1,code2,raceno,run1num,run1name,run1score,run1price1,run1price2,run2num,run2name,run2score,run2price1,run2price2,run3num,run3name,run3score,run3price1,run3price2,run4num,run4name,run4score,run4price1,run4price2,status
12:00,Hawkesbury,NR,NR,1,1,HIDDEN ATTRACTION,--,7.40,2.00,12,OAKWOOD LADY,--,4.30,1.40,7,DENMAN BY DESIGN,--,35.00,6.80,4,AUTUMN WARRIOR,--,2.60,1.20,PAYING
12:18,Warrnambool,VR,VR,1,1,BIG REEL,2nd,7.00,2.40,6,SECOND BASE,1st,1.30,1.00,4,INCUBATE,--,20.10,5.80,3,GENEROUS GEORGE,--,8.50,2.50,PAYING
12:36,Hawkesbury,NR,NR,2,2,BARNEY RUBBLE,--,11.40,2.30,1,ARAVALLI,2nd,2.10,1.20,4,SEAL OF APPROVAL,--,21.30,5.00,3,LASSZOU,--,55.10,10.30,PAYING
12:54,Warrnambool,VR,VR,2,8,OUR MANHATTAN,--,8.40,2.10,6,BELVEDERE ROAD,2nd,20.50,4.20,3,THE COMMON MAN,--,12.30,2.40,2,SHADOW MATE,--,32.40,6.50,PAYING
13:03,Home Hill,QR,QR,1,3,TRY ME DOL,--,3.10,1.40,1,MODEL TO EXCEED,--,7.80,3.80,4,SHE'S ALL OURS,1st,7.20,3.20,6,LUNAR LUCK,--,5.10,2.80,PAYING
13:12,Hawkesbury,NR,NR,3,4,RAIDO,--,3.50,2.20,5,FREEZE THE CHARGES,2nd,3.20,1.70,3,ROARING TO WIN,--,6.00,2.80,1,VA VA VENI,1st,3.30,1.80,PAYING
13:39,Home Hill,QR,QR,2,6,TOP DECISION,--,5.90,2.20,9,GREENSKI,3rd,13.00,3.50,10,KOOLKUNA BABE,--,7.40,2.30,1,COLOUR PARADE,--,9.00,3.50,PAYING
13:48,Hawkesbury,NR,NR,4,3,MONEYLEGS,2nd,2.30,1.30,9,RIEBEEK,--,4.50,2.00,4,MAN OF DESTINY,--,3.90,2.10,8,CHAMPAWI,--,5.90,2.40,PAYING
14:06,Warrnambool,VR,VR,4,1,BALZAC,1st,3.60,2.10,6,TIGIDIG TIGIDIG,2nd,3.00,1.60,2,ZUPACHARGED,--,5.20,2.30,3,BLACK BART,--,35.50,8.80,PAYING
14:15,Home Hill,QR,QR,3,4,BLU AXIS,2nd,2.00,1.20,5,MARKAZY,1st,6.90,3.00,3,PRESSUM,--,15.40,4.30,8,EIREANN,--,8.40,3.30,PAYING
