Time,Race,code1,code2,raceno,run1num,run1name,run1score,run1price1,run1price2,run2num,run2name,run2score,run2price1,run2price2,run3num,run3name,run3score,run3price1,run3price2,run4num,run4name,run4score,run4price1,run4price2,status
10:35,Scone,OR,OR,1,3,SWEET FEET,--,3.80,2.10,6,PIPPI'S PRIDE,--,4.10,2.10,4,HI VIZ,--,5.30,2.00,5,EM DOUBLE YOU BEE,1st,5.00,2.30,PAYING
11:10,Scone,OR,OR,2,9,POP A BOTTLE,2nd,2.90,1.10,1,CHIVADAHLII,1st,2.80,1.00,6,DUAL STAR,3rd,2.60,1.20,4,CODE OF CONDUCT,--,16.10,2.30,PAYING
11:20,Rosehill,SR,SR,1,3,ZIN ZAN EDDIE,3rd,6.20,2.00,9,COPY,--,4.40,1.40,5,DIVERTIRE,--,13.90,2.90,2,DEVONSHIRE DUKE,--,16.60,3.50,PAYING
11:40,Flemington,MR,MR,1,4,ANDRIOLI,--,6.90,2.10,2,AIR APPARENT,2nd,4.70,1.60,1,PASADENA GIRL,1st,3.10,1.40,3,DAGNY,--,16.00,4.20,PAYING
11:45,Scone,OR,OR,3,2,COOL LEISURE,1st,3.10,1.40,4,CAPTAIN KIRK,2nd,5.80,1.70,6,MISS ANNA,3rd,6.10,2.80,10,FINE DIAMOND,--,4.20,1.20,PAYING
12:00,Rosehill,SR,SR,2,6,TAHITIAN BLACK,3rd,14.90,2.60,1,DEEP FIELD,2nd,1.50,1.00,4,TARGET IN SIGHT,1st,5.00,1.30,5,KENCELLA,--,18.60,3.50,PAYING
12:05,Geelong,VR,VR,1,8,SPUN HARD,--,14.10,2.80,2,BEL ROSSO,--,24.60,4.20,4,JABALI,2nd,1.00,1.00,5,UNION JUKEBOX,1st,22.80,3.80,PAYING
12:10,Newcastle,NR,NR,1,4,STAR APPROACH,--,3.50,2.80,1,IT'S A SHAMOZZLE,1st,2.90,1.20,5,PINBALL DAWN,--,8.10,3.00,2,POWERLINE,--,4.10,2.10,PAYING
12:15,Flemington,MR,MR,2,5,ROYAL SNITZEL,--,4.30,1.70,9,SISTONIC,--,4.30,2.00,4,TUDOR,--,8.40,2.50,8,ZELETTO,--,6.20,2.20,PAYING
12:20,Scone,OR,OR,4,4,BEAU BELLA,--,27.10,4.70,10,POUTING,--,2.50,1.40,5,BELLAHRO,--,5.00,1.70,9,ONE MORE TEQUILA,2nd,9.00,1.70,PAYING
